지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),평균운량(1/10),합계 일조시간(hr),합계 일사량(MJ/m2),최심적설(cm)
90,속초,2004-05,16.7,29.2,7.7,67,46.7,21.5,4,3.5,2.4,12.3,18.8,5.4,204.7,,
90,속초,2004-06,20.8,31.3,12.7,74,99.7,51,14,4.5,2.2,9.7,15,6.3,191.8,,
90,속초,2004-07,23.9,37.1,17,83,554,241,69,17.5,2.2,8.5,17.7,7.5,128.8,,
90,속초,2004-08,23.1,34.3,16.1,81,460.3,134.5,27,8.5,2.1,12.9,20.3,6.9,151.4,,
90,속초,2004-09,20.1,30.5,13.4,77,200.1,86,20,12.5,2.2,11.7,18,6.2,161.3,,
90,속초,2004-10,14.8,25.1,6.6,60,16.9,16.5,5,1.5,2.5,8.6,13.8,3.5,201.9,,
90,속초,2004-11,10.6,20.1,1.5,54,39.5,11.5,,,2.4,11.4,24.4,3,184.2,,
90,속초,2004-12,4.2,17.8,-6.3,45,12.2,5,,,2.5,9.6,17.5,3.3,179.4,,2.5
90,속초,2005-01,-.1,9.8,-9.6,40,28.4,12.5,,,3.1,11.7,20.7,2.6,204.6,,7.3
90,속초,2005-02,-.8,7.3,-13.1,46,52.4,35,,,2.9,9.7,20.6,3.6,165.1,,2.2
90,속초,2005-03,4.2,18.1,-7.9,53,102.5,41.1,,,2.9,11.2,22.2,3.8,223.2,,55
90,속초,2005-04,12.8,32,.4,53,47.9,17.5,6.5,2,3.3,11,24.6,4.3,221.9,,
90,속초,2005-05,14.4,29.7,6,69,122.7,89.5,8,2.5,2.6,9,17.1,5,219.6,,
90,속초,2005-06,20.6,33.2,12.6,76,151.2,105,16.5,5.5,2.1,8.7,13.6,6.4,174.2,,
90,속초,2005-07,24,34.4,17.4,79,185.2,45,12,4,2,7.8,11.9,6.8,166.4,,
90,속초,2005-08,25,36,16.6,75,246.9,95,19.5,6,2.2,8,14.4,6.2,168,,
90,속초,2005-09,20,32.2,13.3,80,263.9,69,16,3.5,2.3,10.5,16.7,7,131,,
90,속초,2005-10,15,27.7,4.5,63,114.8,59.5,32,11.5,2.3,11.9,19.5,4.5,174.4,,
90,속초,2005-11,9.8,22.4,-.7,43,32.9,25,,,2.6,10.3,19.4,2.5,192.5,,
90,속초,2005-12,-1.4,11.6,-13.1,33,.4,.4,,,3,11.5,18.7,1.4,195.2,,.4
90,속초,2006-01,.2,8.3,-9.6,54,37.1,15.5,,,2.4,8.9,14.7,4.3,145,,8.3
90,속초,2006-02,1.5,16.1,-11.9,49,18.3,7.5,,,2.9,11.8,26.1,3.8,171,,6.1
90,속초,2006-03,6,18.9,-6.4,45,9.3,3.5,,,3.2,11.7,25.3,3.9,216.8,,5.1
90,속초,2006-04,9.5,25.6,1.9,63,90.2,40,11.5,3,3.1,12.2,21.3,6.1,137.9,,
90,속초,2006-05,14.4,29.8,3.8,72,141.7,76.5,14,4,2.4,7.6,15.2,6.4,154.9,,
90,속초,2006-06,18.4,30.8,12.1,79,129,55.5,14.5,5.5,2.3,9.8,15.9,7.3,102.4,,
90,속초,2006-07,21,32.6,15,85,545,104,33.5,11.5,1.7,7.8,13.7,8.8,46.6,,
90,속초,2006-08,25.2,33,16.7,77,109.3,57.5,9.5,7.5,2.1,11.4,17,5.8,171,,
90,속초,2006-09,19.1,27.4,10.9,72,112.4,40,13,6,2.2,10.7,19.7,5,133.5,,
90,속초,2006-10,17.1,29.3,8.4,70,285.5,232,43,13.5,2.6,30.5,63.7,5.2,150,,
90,속초,2006-11,8.5,20.6,-.8,54,84,39.5,,,2.9,10.8,24.5,4.4,147.6,,
90,속초,2006-12,2,11.3,-11.2,49,47.4,17.9,,,2.5,10.6,17.1,2.8,172,,17.2
90,속초,2007-01,.7,8.9,-7.8,49,23.3,15.5,,,2.4,9.8,18.9,3.8,171.3,,1.2
90,속초,2007-02,4.1,18.8,-8.6,52,7.2,4,,,2.8,10.7,21,3.4,154.6,,
90,속초,2007-03,6.6,19,-6,57,112.6,32,,,3.3,14,23.5,5.1,181.9,,3.6
90,속초,2007-04,11.7,27.6,1.9,58,27.4,6.5,3,2.5,1.8,10,15.1,5.2,180.2,,
90,속초,2007-05,17.1,30.3,7.2,65,102.1,20.5,7,3,2.9,12,19.5,5.7,199.3,,
90,속초,2007-06,20.3,30.5,12.1,73,52.3,13,5.5,1.5,2.5,10.6,15.8,5.7,209.3,,
90,속초,2007-07,22.1,34.5,16.9,83,212.8,51.5,11.5,4.5,2.4,8.8,16,8.2,88.2,,
90,속초,2007-08,24.9,35.3,18.6,78,206.8,87,18,6,2.2,9.2,15.5,7.1,139.1,,
90,속초,2007-09,20.7,30,13,79,397.8,83,16.5,7,2.3,8.7,14.3,7.9,78,,
90,속초,2007-10,15.3,27.8,4.5,67,87.3,46.5,8.5,4,2.4,11.4,19.5,5.7,152.9,,
90,속초,2007-11,8.4,19.9,-4.1,53,33.9,21.5,,,2.6,9.5,18.7,3.3,166.4,,.7
90,속초,2007-12,3.5,11.8,-6.8,46,1.2,.7,,,2.7,10.9,21.9,3.2,171.1,,
90,속초,2008-01,.3,10.7,-9.5,50,71.1,24,,,2.6,11.1,20.9,4.5,161.5,,17.3
90,속초,2008-02,1.3,12.8,-9.8,36,.6,.5,,,2.8,12.2,19.8,2.6,216,,15.8
90,속초,2008-03,7.3,17.7,-1.3,63,103.9,56,,,2.4,8.8,16.1,5,156,,5.4
90,속초,2008-04,13.1,29.5,4.9,62,13.5,6,2,1,2.7,10.2,17,4.8,210.8,,
90,속초,2008-05,16.8,29.8,6.7,67,70,31.5,7,2,2.5,9.3,19.5,5.2,205.1,,
90,속초,2008-06,18.7,31.2,11.4,79,91.3,23.5,6.5,2,2.2,7.9,12.3,7,174.1,,
90,속초,2008-07,25.3,34.7,16.9,77,361.6,148,23,6.5,1.9,7.7,12.6,7,154,,
90,속초,2008-08,23.4,33,15.5,83,343.1,95.5,17,6,2.1,7.9,16.5,6.3,188.7,,
90,속초,2008-09,20.7,29.8,9.7,77,129.9,89.5,12,3.5,2.1,9.4,14.6,5.4,196.3,,
90,속초,2008-10,16.8,28.8,5,64,73.5,48.5,21.5,7,2.4,10.3,19.2,3.9,208.6,,
90,속초,2008-11,9.1,22.3,-5.2,53,78.5,32.5,,,2.7,9.3,18.2,4.2,169.7,,
90,속초,2008-12,3.6,14.5,-10.9,45,78,42.7,,,2.8,11.2,22.5,3.5,183.8,,62.6
90,속초,2009-01,.2,10.5,-10,41,29,21.5,,,2.8,11.9,19.7,2.6,212.6,,16.1
90,속초,2009-02,4.5,12.8,-7.1,53,27,11,,,2.7,11.8,20.9,5,139.6,,
90,속초,2009-03,7,25.7,-3,54,83.2,18,,,2.9,12.6,19.6,5.1,181.8,,3.2
90,속초,2009-04,12.8,29.3,1.9,55,111.2,53,8.5,3,2.8,9.8,19,3.9,237.6,,
90,속초,2009-05,17.7,30.3,9.6,64,50.5,17,5,2,2.5,11.6,23.6,4.7,226.5,,
90,속초,2009-06,20.2,32.4,12.8,74,181.1,67,25,7.5,2.3,11.7,20,6.4,169.2,,
90,속초,2009-07,21.7,32,15.7,84,405.2,149.5,28,6.5,2,10.4,17.6,7.6,133.9,,
90,속초,2009-08,23.1,32.1,14.7,78,247.3,127.5,27,6.5,1.8,10.7,18,6.7,148.2,,
90,속초,2009-09,20,29,13.9,73,20.5,7,3.5,1.5,1.9,7.3,10,5.2,187.8,,
90,속초,2009-10,16.3,26.2,7.6,56,29.8,15,6,2,2.5,10.2,20.4,3.7,230.7,,
90,속초,2009-11,8.2,23.2,-3.7,58,220.6,78.5,,,2.8,9.3,20.4,5.3,135.8,,11
90,속초,2009-12,2,11.3,-9.6,43,14.7,8.5,,,2.9,12.3,23.8,3.4,181.5,,.3
90,속초,2010-01,-.4,12.6,-11.6,44,41.5,17.5,,,2.9,10.7,19.8,2.9,194.1,,12
90,속초,2010-02,1.5,14.2,-8.7,59,113.5,28.8,,,2.4,9,17.5,5.3,134.1,,70.6
90,속초,2010-03,3.7,13.2,-2.2,66,152.1,40.5,,,2.5,10.3,22.4,6.9,122.5,,35.7
90,속초,2010-04,9.1,20.3,.4,57,51.6,15.5,8,3.5,2.8,11.9,20.7,5.9,186.3,,
90,속초,2010-05,16,30.9,5,64,149.5,93,15,3,2.7,11.3,21.5,5.8,206.6,,
90,속초,2010-06,20.1,29.2,6.6,75,18,8.5,7,3,1.6,6.5,12.2,5,245.9,,
90,속초,2010-07,25,35.1,18.1,77,92.8,18,9,4,2,8.1,15,7.3,132.8,,
90,속초,2010-08,25.7,35.1,19.6,81,274.4,52.5,20.5,7,1.7,7.5,17.9,7.6,112.4,,
90,속초,2010-09,20.4,31.1,9.5,78,272,54,17,4.5,1.8,8.9,19.7,6.4,138.3,,
90,속초,2010-10,14.9,24.4,2.4,68,86.5,36.5,11.5,3.5,2.2,7.7,14.2,4.7,178.3,,
90,속초,2010-11,9.1,21.1,-1.9,41,12,10,,,2.7,10.5,21,2.2,222.9,,
90,속초,2010-12,2.8,17.7,-10.7,37,19.7,17,,,3.3,11.7,21.1,3,191.5,,1.5
90,속초,2011-01,-2.7,6.3,-13.2,33,12,8.8,,,2.7,10,17.2,1.9,234,,10.9
90,속초,2011-02,2.1,15.1,-9,62,105.6,38.1,,,2.2,8.7,14,4.8,150.8,,45.3
90,속초,2011-03,5.3,18.7,-5.9,45,20.4,7,,,2.7,8.7,17.7,3.2,226.8,,25.4
90,속초,2011-04,11.4,24.6,.9,54,115.7,30,9.5,3,3.2,10.8,20.6,4.8,207.6,,
90,속초,2011-05,14.3,26.6,6.4,71,65.3,23.5,5,1.5,2.3,11.8,21,6.8,133,,
90,속초,2011-06,20.2,35.3,11.5,72,341.5,93.5,13,5,2.1,10.2,15.9,5.8,199.1,,
90,속초,2011-07,22.3,30.7,17.7,87,412.1,139,46.5,16,1.5,7.5,10.7,8.6,77.4,,
90,속초,2011-08,24.8,35.7,18.7,81,140.3,54.5,18,5.5,1.7,7.9,13.5,6.9,136.6,,
90,속초,2011-09,20.4,29,12.3,72,190.1,52.5,17.5,7,2.2,8.1,13.1,5.6,169.3,,
90,속초,2011-10,14.9,26.4,4.6,59,22.1,10.5,4,1,2,11,16,4.1,203.2,,
90,속초,2011-11,11,19.3,-.5,64,131.3,43,,,2.1,9.2,17.6,5.7,118.7,,
90,속초,2011-12,1.3,9.7,-8.7,44,99.7,27.1,,,1.9,8.7,15.5,3.1,186.7,,35.3
90,속초,2012-01,-.4,6.4,-8.9,43,24.2,13,,,2.4,8.3,14.9,3,186,,1.6
90,속초,2012-02,.1,11,-14.3,46,22.7,16.8,,,2.6,8.6,15.1,3,214.1,,17.5
90,속초,2012-03,5.3,19.4,-4.3,63,85.3,31,,,2.7,10.9,19.4,5.3,176.8,,6.3
90,속초,2012-04,12.1,24.3,.5,65,133,65.5,9,2,2.8,12.3,20.5,4.7,199,,7
90,속초,2012-05,16.4,27.8,9.6,77,46.1,13,8.5,2.5,2.2,9.1,15.2,5.5,172.7,,
90,속초,2012-06,19.8,29,13.6,88,76.2,32,25,9,1.9,7.6,13.8,7.9,126.2,,
90,속초,2012-07,23.9,34.7,17.2,85,244.3,72.5,22,5.5,1.9,10.7,16.5,7.1,153.5,,
90,속초,2012-08,24.4,31.3,18.1,89,212.5,53.5,11.5,5,2,14.6,21.8,8.2,82.1,,
90,속초,2012-09,19.6,29.3,11.7,83,233.5,175,28,6,2,11.5,19.6,6,168.9,,
90,속초,2012-10,15.8,24,6.2,65,25.6,10.5,4,1,2.3,8.1,13.4,3.3,241.2,,
90,속초,2012-11,7.6,16.9,-1.7,55,70.1,41,,,2.6,10.5,19.9,3.7,191.1,,
90,속초,2012-12,-.5,11.2,-11.8,50,44.2,34,,,2.6,12.4,21.3,3.2,189.4,,3.6
90,속초,2013-01,-.8,10,-11.5,55,77.3,32.9,,,2.3,9.8,18.3,3.3,187.5,,33.5
90,속초,2013-02,1.3,13.5,-14.1,50,16.1,10,,,2.5,8.9,15.6,3.5,207.8,,4.3
90,속초,2013-03,6.3,18.8,-6.1,62,66.2,26.8,,,2.7,10,18.1,4.1,227.1,,15
90,속초,2013-04,10.3,22.1,2,60,49,34.5,4.5,1.5,2.9,10.8,20.4,5,213.6,,
90,속초,2013-05,16.9,29,7,69,80.1,31,8,2,2.4,10.7,17.9,5.3,243.9,,
90,속초,2013-06,20.4,29.4,12.8,81,32,16,10.5,4,1.7,6.9,10.2,7.6,152.1,,
90,속초,2013-07,25.6,33.6,19.6,78,292.7,102,29.5,13,1.9,8.3,17,7.5,161.7,,
90,속초,2013-08,27.4,35.8,18.1,75,174.6,93.5,37,13,2,10.3,17,5.8,232.5,,
90,속초,2013-09,20.3,29.2,11.3,82,175.3,46.5,16,6,1.8,7.5,12,6.6,161.9,,
90,속초,2013-10,15.7,26,7.2,70,66.4,31.5,8,2.5,2.2,8.7,17.4,4.4,224.1,,
90,속초,2013-11,8.4,19.9,-4,52,23.3,8,,,2.7,11.1,21.7,3,223,,1.7
90,속초,2013-12,2.7,13,-6.6,54,62.7,38,,,2.5,9.5,16.9,3.2,204.1,,3.5
